Report,District Name,RCDTS,Participating?,NCESID,ROE_x,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,key,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e,State Name [Public School] Latest available year,School Name [Public School] 2021-22,StateID,ParticipatingSchools,Agency Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,Locale,FRL_percent,Female_percent,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,School size,Title I School Status [Public School] 2021-22,State School ID [Public School] 2021-22,State Agency ID [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Male Students [Public School] 2021-22,Female Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22.1,Asian or Asian/Pacific Islander Students [Public School] 2021-22.1,Hispanic Students [Public School] 2021-22.1,Black or African American Students [Public School] 2021-22.1,White Students [Public School] 2021-22.1,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22.1,Two or More Races Students [Public School] 2021-22.1,Total Race/Ethnicity [Public School] 2021-22,teacher_count,Pupil/Teacher Ratio [Public School] 2021-22.1,School Level (SY 2017-18 onward) [Public School] 2021-22,Lowest Grade Offered [Public School] 2021-22,Highest Grade Offered [Public School] 2021-22,ROE_y,ROE_AREA,ROE_AREA_Name
Fairfield Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,1.50163E+14,1.70993E+11,15,School,Fairfield Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,454,,18.5,81.3,,,,,15.9,13.2,59,98.7,3.5,15.9,90,11.1,116,26,,,27.4,1,,,,,74.5,,,2,,,,0,,0,,0,25,2,30,2,81.6,44.2,24,324,17,327,43.2,44.3,22,122,18,,,38.4,44,91,,,39,52,Not Provided,Fairfield Elementary Academy- City of Chicago SD 299,7551,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Fairfield Elem Academy,1.50163E+14,1,City of Chicago SD 299,1709930,11-City: Large,1,0.967093236,0.508226691,0.001828154,,0.782449726,0.206581353,,0.001828154,0.007312614,14.21,547,5-Title I schoolwide school,IL-15-016-2990-25-1501629902913,IL-15-016-2990-25,No,529,269,278,1,–,428,113,–,1,4,547,38.5,14.21,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Sandoval Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,1.50163E+14,1.70993E+11,15,School,Sandoval Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 5,,Comprehensive,736,,1.6,96.5,,,,,14.5,7.5,73.1,93.2,,,91.2,8.2,205,33.3,,,24.7,3,,,,,94.2,,,2,,,42,3,34,2,59,3,50,3,82,5,99.5,66.7,62,337,66,337,48.8,49.7,52,127,40.9,,,34.2,,,,,,,,Sandoval Elementary School- City of Chicago SD 299,7552,Elementary,6827,15,CPS,2023,CSI/NA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Sandoval Elem School,1.50163E+14,1,City of Chicago SD 299,1709930,11-City: Large,1,0.925153374,0.46993865,0.011042945,,0.960736196,0.014723926,0.008588957,,0.004907975,15.98,815,5-Title I schoolwide school,IL-15-016-2990-25-1501629902914,IL-15-016-2990-25,No,754,432,383,9,–,783,12,7,–,4,815,51,15.98,Elementary,Prekindergarten,6th Grade,13,6,Southeast
Northwest Middle School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Northwest Middle School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,8-Jun,,Comprehensive,481,2.1,3.3,93.6,,,,,23.3,18.1,58.8,86.5,4.8,15.6,88.6,11.8,242,45.4,,,30.8,5,,,,,84,,,1,,,67,4,50,3,56,3,24,2,42,3,76.2,69.2,33,489,27,480,35.6,45.9,27,179,15.3,,,41.9,28,37,,,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Northwest Middle School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.887550201,0.477911647,0.004016064,0.008032129,0.939759036,0.034136546,0.008032129,0.004016064,0.002008032,14.23,498,5-Title I schoolwide school,IL-15-016-2990-25-1501629902915,IL-15-016-2990-25,No,442,260,238,2,4,468,17,4,2,1,498,35,14.23,Middle,6th Grade,8th Grade,15,7,City of Chicago
Hampton Elementary Fine & Perf Arts Sch- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Hampton Elementary Fine & Perf Arts Sch,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,465,,46.7,51.2,,,,,21.5,16.3,29.9,91.6,6.2,0,89.4,10.4,203,48.4,,,24.2,,,,,,87.2,,,1,,,20,2,12,1,33,2,16,1,32,2,83.1,55.1,31,304,15,301,45.8,42.1,22,115,19.1,,,42.7,30,47,,,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Hampton Elem Fine & Perf Arts Sch,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.933189655,0.530172414,0.006465517,,0.519396552,0.467672414,0.004310345,,0.002155172,14.06,464,5-Title I schoolwide school,IL-15-016-2990-25-1501629902916,IL-15-016-2990-25,No,433,218,246,3,–,241,217,2,–,1,464,33,14.06,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Colemon J Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Colemon J Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,192,,94.3,5.7,,,,,19.3,14.6,,82.3,10.4,28,92,7.3,26,16.6,,,19.4,2,,,,,100,,,1,,,84,5,84,5,94,5,36,2,79,4,71,80,27,118,20,118,49.6,60.4,19,44,43.2,,,28.3,11,16,,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Colemon J Elem Academy,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.838888889,0.461111111,,,0.055555556,0.944444444,,,,10.59,180,5-Title I schoolwide school,IL-15-016-2990-25-1501629902918,IL-15-016-2990-25,No,151,97,83,–,–,10,170,–,–,–,180,17,10.59,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Columbia Explorers Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Columbia Explorers Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,743,,,97.6,,,,,22.2,16.7,46,91.5,,28.9,93.6,7.5,145,23.5,,,28.1,5,,,,,84.5,,,3,,,68,4,70,4,78,4,58,3,72,4,78.9,60.9,190,463,92,462,61.9,56.7,86,149,57.7,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Columbia Explorers Elem Academy,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.91080402,0.483668342,0.002512563,0.003768844,0.981155779,0.006281407,0.006281407,,,14.74,796,5-Title I schoolwide school,IL-15-016-2990-25-1501629902919,IL-15-016-2990-25,No,725,411,385,2,3,781,5,5,–,–,796,54,14.74,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Chicago Academy Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Chicago Academy Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,563,18.7,3.2,73.4,2.7,,,,21.8,16.5,35.9,61.1,,29.5,92.1,2,159,34.8,,,26.5,2,,,,,88.1,,,2,,,47,3,45,3,56,3,54,3,58,3,93.8,82,89,344,82,344,48.2,45.7,51,118,43.6,,,26.2,Not Provided,Not Provided,,,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Chicago Academy Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.728904847,0.47037702,,0.035906643,0.736086176,0.023339318,0.190305206,0.001795332,0.012567325,15.05,557,5-Title I schoolwide school,IL-15-016-2990-25-1501629902920,IL-15-016-2990-25,No,406,295,262,–,20,410,13,106,1,7,557,37,15.05,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Courtenay Elementary Language Arts Ctr- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,1.50163E+14,1.70993E+11,15,School,Courtenay Elementary Language Arts Ctr,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Comprehensive,209,7.7,53.6,32.1,,,,,42.1,39.7,31.1,92.3,11.5,31.6,88.6,35.7,83,39,,,23,,,,,,79.6,,,1,,,55,3,48,3,59,3,60,4,65,4,83.6,60.8,14,118,6,117,51.3,50.7,16,39,41,,,49.8,5,6,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Courtenay Elem Language Arts Ctr,1.50163E+14,1,City of Chicago SD 299,1709930,11-City: Large,1,0.929411765,0.417647059,0.005882353,0.023529412,0.294117647,0.611764706,0.052941176,,0.011764706,5.4,170,5-Title I schoolwide school,IL-15-016-2990-25-1501629902921,IL-15-016-2990-25,No,158,99,71,1,4,50,104,9,–,2,170,31.5,5.4,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Ashburn Community Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Ashburn Community Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,352,,80.7,17.9,,,,,21.3,17.6,9.1,81.8,,45.9,91.1,5.5,122,41.4,,,26,,,,,,86.7,,,3,,,36,2,38,2,53,3,39,2,48,3,80.2,76.1,39,227,20,226,45.8,43.6,20,72,27.8,,,28.3,5,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Ashburn Community Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.81270903,0.531772575,0.003344482,,0.113712375,0.876254181,,,0.006688963,9.97,299,5-Title I schoolwide school,IL-15-016-2990-25-1501629902922,IL-15-016-2990-25,No,243,140,159,1,–,34,262,–,–,2,299,30,9.97,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Belmont-Cragin Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Belmont-Cragin Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,479,,,96.5,,,,,20,15.9,74.1,90.8,,18.2,91.3,8.2,116,36.5,,,24.4,5,,,,,98,,,2,,,58,3,64,4,74,4,39,2,46,3,87.6,90.7,19,215,15,215,45.3,52.5,10,58,17.2,,,34,3,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Belmont-Cragin Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.924311927,0.493119266,0.004587156,,0.949541284,0.032110092,0.01146789,,0.002293578,10.9,436,5-Title I schoolwide school,IL-15-016-2990-25-1501629902923,IL-15-016-2990-25,No,403,221,215,2,–,414,14,5,–,1,436,40,10.9,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
National Teachers Elementary Academy- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,National Teachers Elementary Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,751,11.2,72.3,6,5.1,,,5.2,15.6,8,3.2,61.3,2.5,35.6,92.1,10.2,308,47.1,,,27.3,2,,,,,77.1,,,2,,,53,3,37,2,55,3,33,2,60,4,88.1,92.3,154,468,106,459,53.9,50.4,69,160,45.4,,,29.6,14,14,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,National Teachers Elem Academy,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.663513514,0.47972973,0.002702703,0.047297297,0.07027027,0.714864865,0.116216216,0.002702703,0.045945946,13.77,740,5-Title I schoolwide school,IL-15-016-2990-25-1501629902924,IL-15-016-2990-25,No,491,385,355,2,35,52,529,86,2,34,740,53.75,13.77,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Talman Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Talman Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,345,,,96.2,,,,,26.7,20.6,58.3,89.3,,42.4,90.3,3.2,79,28.4,,,17.8,2.6,,,,,88.6,,,1,,,42,3,45,3,68,4,,0,,0,42.5,54.4,62,206,33,206,49.4,53.5,21,65,32.3,,,38.6,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Talman Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.902735562,0.495440729,0.003039514,0.003039514,0.972644377,0.018237082,0.003039514,,,11.75,329,5-Title I schoolwide school,IL-15-016-2990-25-1501629902926,IL-15-016-2990-25,No,297,166,163,1,1,320,6,1,–,–,329,28,11.75,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
New Field Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,New Field Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 4,,Commendable,511,12.9,30.9,42.7,5.9,,,7,22.5,15.9,40.5,76.1,,,91.3,15,108,29.2,,,25.8,1,,,,,83.6,,,1,,,28,2,8,1,44,3,56,3,63,4,74.2,65.2,26,146,17,145,41,51.2,,,,,,33.6,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,New Field Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.785582255,0.49168207,0.003696858,0.059149723,0.414048059,0.336414048,0.140480591,0.003696858,0.042513863,11.63,541,5-Title I schoolwide school,IL-15-016-2990-25-1501629902930,IL-15-016-2990-25,No,425,275,266,2,32,224,182,76,2,23,541,46.5,11.63,Elementary,Prekindergarten,4th Grade,15,7,City of Chicago
Durkin Park Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Durkin Park Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,665,3.5,11.1,83.9,,,,,20.8,14.7,37.9,76.2,6.3,35.4,91.4,6.5,152,27.8,,,25.4,5,,,,,93.1,,,2,,,58,3,58,3,57,3,46,3,59,3,92.5,85.3,99,408,62,408,53.3,52.1,57,145,39.3,,,32.6,14,19,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Durkin Park Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.786026201,0.475982533,0.001455604,,0.828238719,0.11062591,0.04657933,,0.013100437,13.88,687,5-Title I schoolwide school,IL-15-016-2990-25-1501629902933,IL-15-016-2990-25,No,540,360,327,1,–,569,76,32,–,9,687,49.5,13.88,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Calmeca Acad Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Calmeca Acad Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,613,,,97.7,,,,,21.7,17.1,65.4,86.5,1.8,35.9,91,4.3,159,29.5,,,22.2,,,,,,92.8,,,2,,,63,4,58,3,62,4,46,3,52,3,94.2,63.5,44,402,13,402,46,50.9,41,137,30.1,,,34.9,17,20,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Calmeca Acad Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.848120301,0.505263158,0.001503759,0.009022556,0.968421053,0.007518797,0.009022556,,0.004511278,14,665,5-Title I schoolwide school,IL-15-016-2990-25-1501629902934,IL-15-016-2990-25,No,564,329,336,1,6,644,5,6,–,3,665,47.5,14,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
North River Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,North River Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,232,,,82.8,,,,6.9,23.7,19.4,67.7,78.9,5.6,51.9,93.7,27.5,87,40.3,,,26.9,2,,,,,82.5,,,1,,,66,4,72,4,80,5,64,4,87,5,88.9,93.3,30,147,19,146,45.9,62.1,17,50,34,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,North River Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.806034483,0.452586207,,0.017241379,0.840517241,0.021551724,0.034482759,0.00862069,0.077586207,10.79,232,5-Title I schoolwide school,IL-15-016-2990-25-1501629902935,IL-15-016-2990-25,No,187,127,105,–,4,195,5,8,2,18,232,21.5,10.79,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Claremont Academy Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Claremont Academy Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,343,,76.1,22.4,,,,,25.7,23.3,14.9,94.5,12.5,12.8,91.2,27.7,202,57.2,,,23.7,1.1,,,,,97.9,,,2,,,56,3,53,3,57,3,99,5,91,5,79.6,55.2,31,223,20,219,55.1,46.9,17,80,21.3,,,39.7,6,6,,,Not Provided,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Claremont Academy Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.938666667,0.482666667,0.002666667,,0.138666667,0.829333333,0.008,0.008,0.013333333,10.87,375,5-Title I schoolwide school,IL-15-016-2990-25-1501629902936,IL-15-016-2990-25,No,352,194,181,1,–,52,311,3,3,5,375,34.5,10.87,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
James R Doolittle Academy- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,1.50163E+14,1.70993E+11,15,School,James R Doolittle Academy,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Intensive,254,,100,,,,,,17.7,16.1,,99.6,22.4,29.2,90.3,19.6,136,60.7,,,22.8,2,,,,,80,,,2,,,45,3,35,2,50,3,50,3,50,3,88.7,84,4,140,0,139,40.7,36,7,48,14.6,,,38.1,2,2,,,1,1,,James R Doolittle Academy- City of Chicago SD 299,7575,"Elementary,Middle/Jr. High",6827,15,CPS,2023,ISI/RNA,CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,James R Doolittle Academy,1.50163E+14,1,City of Chicago SD 299,1709930,11-City: Large,1,0.980620155,0.46124031,,,,0.996124031,,,0.003875969,15.18,258,5-Title I schoolwide school,IL-15-016-2990-25-1501629902937,IL-15-016-2990-25,No,253,139,119,–,–,–,257,–,–,1,258,17,15.18,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Suder Montessori Elementary Magnet Schl- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Suder Montessori Elementary Magnet Schl,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,444,18.9,50.9,20,3.6,,,5.4,19.4,11,5.4,43,3.4,0,91.1,3.2,66,21.4,,,12,1.5,,,,,88.5,,,2,,,35,2,31,2,61,4,32,2,45,3,88.2,60.4,32,209,29,209,40.7,46.5,16,55,30.2,,,32.9,8,8,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Suder Montessori Elem Magnet Schl,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.472093023,0.48372093,0.002325581,0.030232558,0.169767442,0.506976744,0.21627907,0.011627907,0.062790698,15.93,430,5-Title I schoolwide school,IL-15-016-2990-25-1501629902941,IL-15-016-2990-25,No,203,222,208,1,13,73,218,93,5,27,430,27,15.93,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Tarkington Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Tarkington Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 8,,Commendable,863,,18.7,79.6,,,,,18.8,14.7,41.4,92.7,2.2,25.9,91.3,4.6,352,43.7,,,23.6,,,,,,86,,,3,,,5,1,10,1,32,2,28,2,33,2,85.4,74.3,124,614,46,611,56,50.4,52,214,24.3,,,31.4,14,14,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Tarkington Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.89815818,0.491874323,0.002166847,0.004333694,0.791982665,0.190682557,0.007583965,,0.003250271,15.64,923,5-Title I schoolwide school,IL-15-016-2990-25-1501629902943,IL-15-016-2990-25,No,829,469,454,2,4,731,176,7,–,3,923,59,15.64,Elementary,Prekindergarten,8th Grade,15,7,City of Chicago
Frazier Perspectives Magnet ES- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Frazier Perspectives Magnet ES,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,131,,95.4,,,,,,19.8,15.3,,88.5,,26.3,91.3,9.6,65,51.6,,,13.3,2,,,,,57.7,,,1,,,29,2,25,2,13,1,48,3,66,4,67.1,77.8,22,92,5,92,51.5,43.2,16,28,57.1,,,31.4,28,48,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Frazier Perspectives Magnet ES,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.888888889,0.518518519,,,0.024691358,0.975308642,,,,9.26,162,5-Title I schoolwide school,IL-15-016-2990-25-1501629902945,IL-15-016-2990-25,No,144,78,84,–,–,4,158,–,–,–,162,17.5,9.26,Elementary,Kindergarten,8th Grade,15,7,City of Chicago
Disney II Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Disney II Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,PK - 6,,Exemplary,431,39.7,7.4,41.3,6.5,,,4.6,18.8,10.9,11.4,30.9,,,93.4,,56,16.6,,,28.1,2,,,,,,,,,,,52,3,60,4,65,4,34,2,40,3,92.9,68.4,103,223,81,222,61.7,64.3,42,56,76.4,,,16.8,2,2,,,2,Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Disney II Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.358173077,0.487980769,0.004807692,0.067307692,0.415865385,0.069711538,0.411057692,,0.03125,832,416,6-Not a Title I school,IL-15-016-2990-25-1501629902949,IL-15-016-2990-25,No,149,213,203,2,28,173,29,171,–,13,416,0.5,832,Elementary,Prekindergarten,6th Grade,15,7,City of Chicago
Plato Learning Acad  Elementary School- City of Chicago SD 299,City of Chicago SD 299,1.50163E+14,,1.70993E+11,15,School,Plato Learning Acad  Elementary School,Chicago,Cook,UNIT,LARGE,ELEMENTARY,K - 8,,Commendable,176,,98.9,,,,,,15.3,9.1,,98.9,,0,91.4,12.7,14,8.1,,,21.7,3,,,,,26.3,,,1,,,48,3,29,2,,0,37,2,47,3,91.2,70.6,8,136,3,136,35.8,44.1,6,53,11.3,,,32.1,19,26,,,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,Plato Learning Acad  Elem School,1.50163E+14,0,City of Chicago SD 299,1709930,11-City: Large,1,0.989690722,0.546391753,,,0.020618557,0.974226804,,,0.005154639,–,194,5-Title I schoolwide school,IL-15-016-2990-25-1501629902951,IL-15-016-2990-25,No,192,88,106,–,–,4,189,–,–,1,194,–,–,Elementary,Kindergarten,8th Grade,15,7,City of Chicago
