RCDTS,Report,NCESID,Grades Served,School Type,Summative Designation,# Student Enrollment,% Student Enrollment - Children with Disabilities,% Student Enrollment - Low Income,teacher_count,colb,colr,inf3,ins3,pgmc,pnfl,prt4,qpd2,trpa,trte
15016299025020C,IJLA Charter High School- City of Chicago SD 299,170993006238.0,9 - 12,CHARTER SCH,Intensive,94.0,12.8,90.4,6,,86.0,23.0,1.0,66.0,22.0,,38.0,,91.0
15016299025051C,Perspectives Chtr - Leadership Acad- City of Chicago SD 299,170993006437.0,6 - 12,CHARTER SCH,Comprehensive,674.0,19.1,89.2,–,73.0,49.0,16.0,70.0,64.0,69.0,49.0,66.0,39.0,37.0
15016299025053C,Perspectives Chtr -  IIT Campus- City of Chicago SD 299,170993006514.0,6 - 12,CHARTER SCH,Commendable,408.0,16.9,96.6,–,52.0,33.0,6.0,58.0,72.0,56.0,42.0,53.0,33.0,22.0
15016299025054C,YCCS-Scholastic Achievement High School- City of Chicago SD 299,170993006519.0,9 - 12,CHARTER SCH,Intensive,107.0,10.3,94.4,3,,99.0,,99.0,99.0,,,99.0,,99.0
15016299025060C,YCCS-Progressive Leadership Academy- City of Chicago SD 299,170993006490.0,9 - 12,CHARTER SCH,Intensive,130.0,24.6,96.2,4,,53.0,,81.0,61.0,,,91.0,,
15016299025062C,YCCS-Albizu Campos Puerto Rican High School- City of Chicago SD 299,170993006486.0,9 - 12,CHARTER SCH,Intensive,112.0,29.5,93.8,13,,92.0,37.0,69.0,72.0,99.0,,88.0,26.0,36.0
15016299025063C,YCCS-Innovations of Arts Integr High School- City of Chicago SD 299,170993006456.0,9 - 12,CHARTER SCH,Intensive,474.0,21.5,98.5,11,68.0,70.0,45.0,69.0,86.0,85.0,48.0,96.0,51.0,49.0
15016299025065C,YCCS-Latino Youth Alternative High School- City of Chicago SD 299,170993006449.0,9 - 12,CHARTER SCH,Intensive,139.0,18.7,91.4,12,17.0,92.0,51.0,74.0,75.0,60.0,3.0,53.0,15.0,68.0
15016299025068C,YCCS-Truman Middle College High School- City of Chicago SD 299,170993006517.0,9 - 12,CHARTER SCH,Intensive,176.0,19.3,81.3,13,10.0,57.0,47.0,30.0,54.0,43.0,27.0,43.0,45.0,65.0
15016299025072C,YCCS-Youth Connection Leadership Academy- City of Chicago SD 299,170993006518.0,9 - 12,CHARTER SCH,Intensive,98.0,19.4,90.8,6.5,,36.0,,65.0,73.0,,,66.0,,
15016299025073C,YCCS Chtr - Chatham- City of Chicago SD 299,170993006458.0,9 - 12,CHARTER SCH,Intensive,124.0,24.2,97.6,7,,,,,,,,,,
15016299025109C,LEARN Chtr - Middle School- City of Chicago SD 299,170993006443.0,6 - 8,CHARTER SCH,Comprehensive,279.0,19.7,90.0,12,52.0,47.0,57.0,85.0,81.0,50.0,11.0,50.0,29.0,57.0
15016299025221C,Legacy Elem Charter School- City of Chicago SD 299,170993005799.0,K - 8,CHARTER SCH,Comprehensive,449.0,16.3,93.5,31,43.0,45.0,36.0,43.0,55.0,67.0,53.0,45.0,23.0,52.0
15016299025251C,CICS - West Belden Campus- City of Chicago SD 299,170993006475.0,K - 8,CHARTER SCH,Comprehensive,543.0,16.4,87.7,32,67.0,47.0,27.0,61.0,79.0,43.0,61.0,68.0,55.0,68.0
15016299025274C,LEARN Chtr - South Chicago Campus- City of Chicago SD 299,170993006451.0,K - 8,CHARTER SCH,Comprehensive,419.0,10.7,88.8,29,42.0,32.0,25.0,50.0,73.0,61.0,35.0,52.0,27.0,42.0
15016299025275C,LEARN Chtr -  Hunter Perkins Campus- City of Chicago SD 299,170993006492.0,K - 8,CHARTER SCH,Comprehensive,471.0,12.1,73.0,26,2.0,6.0,16.0,20.0,43.0,24.0,58.0,16.0,32.0,23.0
15016299025282C,KIPP Chicago Charters - Ascend Academy- City of Chicago SD 299,170993006509.0,K - 8,CHARTER SCH,Comprehensive,905.0,13.9,94.6,9,72.0,49.0,29.0,67.0,66.0,47.0,43.0,74.0,47.0,58.0
56099201U261002,Crete-Monee Middle School- Crete Monee CUSD 201U,171125001347.0,6 - 8,MIDDLE SCHL,Comprehensive,943.0,16.5,99.8,77,56.0,48.0,48.0,53.0,66.0,54.0,13.0,51.0,36.0,43.0
56099201U262003,Balmoral Elementary School- Crete Monee CUSD 201U,171125001342.0,K - 5,ELEMENTARY,Comprehensive,429.0,16.8,99.1,31,13.0,48.0,43.0,62.0,44.0,62.0,30.0,42.0,15.0,54.0
56099365U262012,Oak View Elementary School- Valley View CUSD 365U,174007004864.0,K - 5,ELEMENTARY,Comprehensive,557.0,19.2,75.0,45.44,54.0,36.0,48.0,72.0,50.0,78.0,38.0,67.0,38.0,54.0
330482050260023,Galesburg Jr High School- Galesburg CUSD 205,171608001917.0,7 - 8,MIDDLE SCHL,,570.0,22.5,71.8,37.56,1.0,1.0,38.0,12.0,33.0,37.0,1.0,36.0,9.0,24.0
