RCDTS,Report,NCESID,Grades Served,School Type,Summative Designation,# Student Enrollment,% Student Enrollment - Children with Disabilities,% Student Enrollment - Low Income,teacher_count,colb,colr,inf3,ins3,pgmc,pnfl,prt4,qpd2,trpa,trte
150162990250029,Marshall Metropolitan High School- City of Chicago SD 299,170993000972.0,9 - 12,HIGH SCHOOL,Intensive,189.0,28.6,95.8,21.5,64.0,68.0,45.0,94.0,92.0,81.0,66.0,99.0,65.0,84.0
150162990250034,Phillips Academy High School- City of Chicago SD 299,170993001061.0,9 - 12,HIGH SCHOOL,Intensive,448.0,20.3,93.3,41,65.0,24.0,20.0,43.0,58.0,65.0,20.0,73.0,32.0,47.0
150162990250044,Tilden Career Communty Academy High School- City of Chicago SD 299,170993001161.0,9 - 12,HIGH SCHOOL,Intensive,215.0,36.7,85.1,23,65.0,63.0,41.0,56.0,65.0,51.0,54.0,80.0,24.0,73.0
150162990250536,Richards Career Academy High School- City of Chicago SD 299,170993000718.0,9 - 12,HIGH SCHOOL,Intensive,275.0,26.2,95.3,22.5,50.0,36.0,52.0,59.0,63.0,59.0,41.0,77.0,31.0,32.0
150162990250545,Clemente Community Academy High School- City of Chicago SD 299,170993001086.0,9 - 12,HIGH SCHOOL,Comprehensive,591.0,36.7,90.7,57,39.0,6.0,21.0,9.0,30.0,42.0,39.0,29.0,28.0,20.0
150162990250616,Manley Career Academy High School- City of Chicago SD 299,170993001125.0,9 - 12,HIGH SCHOOL,Intensive,67.0,49.3,98.5,10.5,47.0,54.0,22.0,66.0,99.0,41.0,42.0,89.0,34.0,35.0
150162990250824,Bowen High School- City of Chicago SD 299,170993005072.0,9 - 12,HIGH SCHOOL,Intensive,192.0,35.4,93.8,23.25,52.0,26.0,35.0,29.0,62.0,59.0,21.0,63.0,24.0,35.0
150162990250836,Multicultural Arts High School- City of Chicago SD 299,170993005794.0,9 - 12,HIGH SCHOOL,Intensive,258.0,27.5,94.6,20.25,61.0,58.0,44.0,63.0,60.0,48.0,37.0,86.0,54.0,85.0
150162990250844,Austin College and Career Academy High School- City of Chicago SD 299,170993005984.0,9 - 12,HIGH SCHOOL,Intensive,170.0,28.8,88.2,19.5,60.0,32.0,49.0,52.0,66.0,74.0,19.0,58.0,26.0,64.0
150162990250847,Orr Academy High School- City of Chicago SD 299,170993005983.0,9 - 12,HIGH SCHOOL,Intensive,231.0,24.7,96.1,18,75.0,59.0,40.0,88.0,99.0,92.0,65.0,99.0,49.0,62.0
150162990250862,Chicago Excel Academy High School- City of Chicago SD 299,170993006219.0,9 - 12,HIGH SCHOOL,Intensive,214.0,8.9,97.7,–,8.0,20.0,34.0,42.0,66.0,52.0,7.0,60.0,1.0,35.0
150162990252067,Barry Elementary School- City of Chicago SD 299,170993000586.0,PK - 6,ELEMENTARY,Comprehensive,439.0,19.4,85.4,38.5,20.0,23.0,43.0,33.0,65.0,56.0,66.0,55.0,63.0,43.0
150162990252103,Burke Elementary School- City of Chicago SD 299,170993000629.0,PK - 8,ELEMENTARY,Intensive,275.0,16.0,97.1,27.5,,,,,,,,,,
150162990252105,Burnham Elem Inclusive Academy- City of Chicago SD 299,170993000633.0,PK - 8,ELEMENTARY,Comprehensive,416.0,20.0,93.8,32.5,26.0,22.0,38.0,54.0,57.0,43.0,44.0,51.0,34.0,41.0
150162990252127,Cather Elementary School- City of Chicago SD 299,170993000656.0,PK - 8,ELEMENTARY,Intensive,325.0,30.8,97.2,27,52.0,22.0,37.0,48.0,55.0,40.0,19.0,47.0,33.0,27.0
150162990252145,Corkery Elementary School- City of Chicago SD 299,170993000677.0,PK - 8,ELEMENTARY,Comprehensive,430.0,22.6,94.7,33.25,,,,,,,,,,
150162990252149,Davis N Elementary School- City of Chicago SD 299,170993000687.0,PK - 8,ELEMENTARY,Comprehensive,518.0,23.7,95.0,46.5,22.0,20.0,38.0,47.0,50.0,55.0,54.0,60.0,44.0,24.0
150162990252153,Deneen Elementary School- City of Chicago SD 299,170993000691.0,PK - 8,ELEMENTARY,Comprehensive,458.0,14.0,89.5,30,74.0,53.0,41.0,71.0,79.0,60.0,47.0,78.0,49.0,57.0
150162990252154,Dett Elementary School- City of Chicago SD 299,170993000695.0,PK - 8,ELEMENTARY,Intensive,243.0,32.9,97.1,26.5,45.0,30.0,36.0,57.0,59.0,47.0,32.0,75.0,29.0,29.0
150162990252155,Chopin Elementary School- City of Chicago SD 299,170993000697.0,PK - 8,ELEMENTARY,Intensive,268.0,30.2,92.9,31.5,38.0,27.0,41.0,39.0,51.0,48.0,34.0,50.0,28.0,46.0
150162990252203,Field Elementary School- City of Chicago SD 299,170993000771.0,5 - 8,ELEMENTARY,Comprehensive,154.0,26.0,86.4,11.75,15.0,1.0,24.0,1.0,16.0,45.0,12.0,9.0,7.0,21.0
150162990252204,Fiske Elementary School- City of Chicago SD 299,170993000773.0,PK - 8,ELEMENTARY,Intensive,339.0,13.0,85.0,28,26.0,11.0,12.0,39.0,48.0,37.0,13.0,40.0,23.0,23.0
150162990252241,Hamline Elementary School- City of Chicago SD 299,170993000823.0,PK - 8,ELEMENTARY,Comprehensive,528.0,22.0,97.0,41.5,50.0,25.0,28.0,46.0,52.0,36.0,36.0,52.0,45.0,61.0
150162990252244,Bret Harte Elementary School- City of Chicago SD 299,170993000826.0,PK - 8,ELEMENTARY,Comprehensive,328.0,17.1,73.8,24.5,52.0,27.0,61.0,46.0,62.0,73.0,67.0,62.0,68.0,44.0
150162990252258,Henderson Elementary School- City of Chicago SD 299,170993000842.0,PK - 8,ELEMENTARY,Comprehensive,174.0,21.3,96.6,17.5,86.0,57.0,39.0,80.0,68.0,67.0,26.0,79.0,45.0,48.0
150162990252260,Henry Elementary School- City of Chicago SD 299,170993000844.0,PK - 8,ELEMENTARY,Comprehensive,450.0,20.4,89.1,36,43.0,50.0,51.0,57.0,69.0,58.0,65.0,83.0,52.0,68.0
150162990252266,Higgins Elem Community Academy- City of Chicago SD 299,170993000855.0,PK - 8,ELEMENTARY,Comprehensive,262.0,13.4,96.6,16,34.0,44.0,41.0,62.0,71.0,59.0,30.0,73.0,39.0,52.0
70161520022004,Holmes Elementary School- City of Chicago SD 299,170993000861.0,PK - 8,ELEMENTARY,Comprehensive,116.0,14.7,91.4,12.5,,40.0,,2.0,53.0,,,36.0,11.0,
150162990252276,Hughes  C Elementary School- City of Chicago SD 299,170993000865.0,PK - 8,ELEMENTARY,Comprehensive,187.0,19.3,91.4,16.5,63.0,51.0,42.0,63.0,76.0,50.0,65.0,87.0,55.0,69.0
150162990252311,Lewis Elementary School- City of Chicago SD 299,170993000911.0,PK - 8,ELEMENTARY,Comprehensive,358.0,15.1,95.5,32,24.0,1.0,11.0,26.0,42.0,18.0,26.0,17.0,39.0,58.0
150162990252326,Manierre Elementary School- City of Chicago SD 299,170993000936.0,PK - 8,ELEMENTARY,Intensive,247.0,21.1,96.8,24,10.0,21.0,24.0,35.0,48.0,43.0,30.0,36.0,30.0,41.0
150162990252354,Mollison Elementary School- City of Chicago SD 299,170993000966.0,PK - 8,ELEMENTARY,Intensive,262.0,9.5,96.9,22.5,32.0,26.0,27.0,37.0,36.0,51.0,12.0,37.0,25.0,54.0
150162990252368,Nash Elementary School- City of Chicago SD 299,170993000985.0,PK - 8,ELEMENTARY,Comprehensive,231.0,13.9,90.0,14,24.0,21.0,24.0,26.0,33.0,28.0,21.0,31.0,18.0,34.0
150162990252386,Otis Elementary School- City of Chicago SD 299,170993001012.0,PK - 8,ELEMENTARY,Comprehensive,315.0,39.4,91.7,33.5,46.0,18.0,26.0,8.0,36.0,43.0,41.0,27.0,34.0,37.0
150162990252417,Ray Elementary School- City of Chicago SD 299,170993001047.0,PK - 8,ELEMENTARY,Comprehensive,489.0,18.6,57.1,38.25,76.0,55.0,54.0,67.0,68.0,72.0,80.0,86.0,97.0,91.0
150162990252419,Reavis Elementary Math & Science Specialty School- City of Chicago SD 299,170993001052.0,PK - 8,ELEMENTARY,Comprehensive,276.0,27.9,89.1,22,12.0,22.0,37.0,37.0,54.0,45.0,34.0,54.0,40.0,35.0
150162990252423,Revere Elementary School- City of Chicago SD 299,170993001056.0,PK - 8,ELEMENTARY,Intensive,213.0,8.9,80.3,13.5,17.0,8.0,24.0,50.0,33.0,50.0,23.0,47.0,9.0,17.0
150162990252435,Sawyer Elementary School- City of Chicago SD 299,170993001068.0,K - 8,ELEMENTARY,Comprehensive,1021.0,15.4,96.2,67,29.0,33.0,34.0,39.0,29.0,51.0,40.0,43.0,40.0,48.0
